사업명,지원대상,지원내용,신청방법,사업종료일,출처,상세링크,AI_학습용_데이터
전기안전봉사," 영세지역 또는 취약지역(도시빈촌, 농어촌 및 산간벽지, 도서지역 등)에 거주하는 시설개선능력이 없는 고객, 사회복지시설 및 기타 지원이 필요한 곳", 전기안전점검 부적합 설비 수리 및 개선, 전화 문의: 1588-7500,2099-12-31,민간복지(CSV),내용 없음,전기안전봉사 영세지역 또는 취약지역도시빈촌 농어촌 및 산간벽지 도서지역 등에 거주하는 시설개선능력이 없는 고객 사회복지시설 및 기타 지원이 필요한 곳 전기안전점검 부적합 설비 수리 및 개선
심리정서지원사업," 심리, 정서적 도움이 필요한 아동 및 가족"," 전문적인 상담, 치료 및 지속적인 사후관리 등 통합적 서비스 제공을 통해 아동, 청소년의 정신건강문제에 적극적으로 대응하여 지역사회 변화를 실천", 각 지역별  좋은마음센터 이용(위치 : 홈페이지 참조),2099-12-31,민간복지(CSV),내용 없음,심리정서지원사업 심리 정서적 도움이 필요한 아동 및 가족 전문적인 상담 치료 및 지속적인 사후관리 등 통합적 서비스 제공을 통해 아동 청소년의 정신건강문제에 적극적으로 대응하여 지역사회 변화를 실천
영양교육 & 영양제 지원," 드림스타트, 위스타트 대상 아동", 우리몸에 필요한 영양을 제공하여 면역지능 유지 및 성장발달에 도움을 줌, 각 지역 센터 공고시,2099-12-31,민간복지(CSV),내용 없음,영양교육 영양제 지원 드림스타트 위스타트 대상 아동 우리몸에 필요한 영양을 제공하여 면역지능 유지 및 성장발달에 도움을 줌
장학사업," 각 학교에서 추천된 중학생, 고등학생"," 1인당 중학생 100만원, 고등학생 180만원(4월과 8월 분할 지급)", 매년 3월 공고 - 이메일 접수: yyrf@hanmail.net,2099-12-31,민간복지(CSV),내용 없음,장학사업 각 학교에서 추천된 중학생 고등학생 1인당 중학생 100만원 고등학생 180만원4월과 8월 분할 지급
위기가정지원사업," 정보공개에 동의한 사연제공 저소득가정(정기후원대상자 제외, 중위소득 80%이하)"," 생활안정비, 주거비, 의료비, 교육비, 보장구구입비, 기타(중복지원 가능) - 20만원이상 ~ 400만원 이하(모금액의 85%, 최소지원금 20만원 보장)ㆍ400만원을 초과한 모금액은 해당 대상자 외 빈곤가정 위기극복지원사업비로 사용하는 것을 원칙으로 함ㆍ지원금은 지원대상자 담당 사회복지사의 지원계획서에 따라 집행", 이메일 접수: miral4664@hanmail.net - 연중 수시 접수,2099-12-31,민간복지(CSV),내용 없음,위기가정지원사업 정보공개에 동의한 사연제공 저소득가정정기후원대상자 제외 중위소득 80이하 생활안정비 주거비 의료비 교육비 보장구구입비 기타중복지원 가능 20만원이상 400만원 이하모금액의 85 최소지원금 20만원 보장400만원을 초과한 모금액은 해당 대상자 외 빈곤가정 위기극복지원사업비로 사용하는 것을 원칙으로 함지원금은 지원대상자 담당 사회복지사의 지원계획서에 따라 집행
'짱아야 학교가자' 장애아동 토요학교, 만 18세 미만의 저소득 취약계층 장애아동," 장애아동에게는 일상생활훈련, 음악활동 등 다양한 교육프로그램 제공 - 장애아동 보호자에게는 부모교육 제공", 이메일 접수: miral4664@hanmail.net - 우편 접수: (우135-884) 서울시 강남구 밤고개로 1길 34(수서동 한울오피스텔) 201호 밀알복지재단 - 매년 1월 접수,2099-12-31,민간복지(CSV),내용 없음,짱아야 학교가자 장애아동 토요학교 만 18세 미만의 저소득 취약계층 장애아동 장애아동에게는 일상생활훈련 음악활동 등 다양한 교육프로그램 제공 장애아동 보호자에게는 부모교육 제공
밀알첼로앙상블 '날개'," 만 10세~20세의 등록발달장애 아동, 청소년으로 첼로 혹은 악기 연주 가능자 - 정해진 연습 및 연주일정에 성실히 임할 수 있는 자"," 첼로앙상블을 조직하여 개인, 앙상블, 오케스트라 레슨 등 전문음악교육을 제공 - 음악 자원봉사 및 공연활동"," 결원시 홈페이지 공고, 오디션 실시- 이메일 접수: miral4664@hanmail.net - 우편 접수: (우135-884) 서울시 강남구 밤고개로 1길 34(수서동 한울오피스텔) 201호 밀알복지재단",2099-12-31,민간복지(CSV),내용 없음,밀알첼로앙상블 날개 만 10세20세의 등록발달장애 아동 청소년으로 첼로 혹은 악기 연주 가능자 정해진 연습 및 연주일정에 성실히 임할 수 있는 자 첼로앙상블을 조직하여 개인 앙상블 오케스트라 레슨 등 전문음악교육을 제공 음악 자원봉사 및 공연활동
희망듬뿍(Book)," 책읽기를 좋아하지만 형편상 어려움을 겪는 전국 만 6세 이상, 18세 미만 아동청소년- 아동복지시설의 교사, 복지사, 초중고등학교 교사 등의 추천을 받은 청소년", 학생 1인당 새 책 10권(5권씩 연 2회), 온라인 접수(1인당 최대 40명),2099-12-31,민간복지(CSV),내용 없음,희망듬뿍 책읽기를 좋아하지만 형편상 어려움을 겪는 전국 만 6세 이상 18세 미만 아동청소년 아동복지시설의 교사 복지사 초중고등학교 교사 등의 추천을 받은 청소년 학생 1인당 새 책 10권5권씩 연 2회
푸르덴셜장학제도, 보험금 수익자 가정(유가족)," 고등학교 입학금(200만원), 대학교 입학금(300만원)", 기타 접수: 보험설계사에게 신청,2099-12-31,민간복지(CSV),내용 없음,푸르덴셜장학제도 보험금 수익자 가정유가족 고등학교 입학금200만원 대학교 입학금300만원
cj 대중음악 장학사업," 대한민국 국적으로 대중음악 전공자 - 해외소재 주요 음대 재학중이거나 입학예정이며, 성적장학금 수여자 및 수여예정자 - 버클리음대 제외(CJ스콜라십 별도 운영)"," 월 600달러의 생활비, 기본 6개월, 최대 3년까지 연장 가능", 홈페이지 공고 확인(매년 5~6월 경 공고) www.cjculturefoundation.org,2099-12-31,민간복지(CSV),내용 없음,대중음악 장학사업 대한민국 국적으로 대중음악 전공자 해외소재 주요 음대 재학중이거나 입학예정이며 성적장학금 수여자 및 수여예정자 버클리음대 제외스콜라십 별도 운영 월 600달러의 생활비 기본 6개월 최대 3년까지 연장 가능
스테이지업(공간지원 사업)," 제작 및 홍보마케팅 등 프로덕션 운영이 가능하며 한국 국적을 가진 모든 창작자- 국내 창작단체/극단- 국내 창작공연 작품(연극, 뮤지컬, 무용 등)"," 3주간 공연장 및 부대장비, 작품제작비 800만원 지원", 인터넷 접수 : http://www.cjazit.org/ - 연중 상시,2099-12-31,민간복지(CSV),내용 없음,스테이지업공간지원 사업 제작 및 홍보마케팅 등 프로덕션 운영이 가능하며 한국 국적을 가진 모든 창작자 국내 창작단체극단 국내 창작공연 작품연극 뮤지컬 무용 등 3주간 공연장 및 부대장비 작품제작비 800만원 지원
Tune Up(음악)," 앨범을 발매하지 않았거나, 정규 앨범을 발매한지 1년이 경과하지 않은 신인 뮤지션- 정규 앨범 기준 5장 미만 발매 기성 뮤지션", 국내 뮤직페스티벌 참여 기회 제공 등- 정규 음반 제작 및 홍보 마케팅 지원, 인터넷 접수 : www.cjazit.org- 매년 8월~9월 공고 참조,2099-12-31,민간복지(CSV),내용 없음,음악 앨범을 발매하지 않았거나 정규 앨범을 발매한지 1년이 경과하지 않은 신인 뮤지션 정규 앨범 기준 5장 미만 발매 기성 뮤지션 국내 뮤직페스티벌 참여 기회 제공 등 정규 음반 제작 및 홍보 마케팅 지원
스테이지업(뮤지컬리딩 워크샵)," 작곡가, 작가로 구성된 팀 - 국내외 상업 프러덕션에서 창작자로 3회 이하 참여한 자 - 한국 국적자에 한함", 저작권에 저촉되지 않는 1시간~1시간 30분 내외 분량의 창작 뮤지컬, 인터넷접수: http://www.cjazit.org/ - 3월 ~ 5월,2099-12-31,민간복지(CSV),내용 없음,스테이지업뮤지컬리딩 워크샵 작곡가 작가로 구성된 팀 국내외 상업 프러덕션에서 창작자로 3회 이하 참여한 자 한국 국적자에 한함 저작권에 저촉되지 않는 1시간1시간 30분 내외 분량의 창작 뮤지컬
걱정해결사업(의료비지원), 저소득 위기가정, 메리츠화재 91가지 걱정해결사업 비급여 의료비지원ㆍ공동모금회를 통해 메리츠화재와 업무협약을 진행한 지자체 예산 지원,내용 없음,2099-12-31,민간복지(CSV),내용 없음,걱정해결사업의료비지원 저소득 위기가정 메리츠화재 91가지 걱정해결사업 비급여 의료비지원공동모금회를 통해 메리츠화재와 업무협약을 진행한 지자체 예산 지원
장애대학생 아람코등록금 지원사업,국내 4년제 대학교 이공계열에 재학중인 등록 장애학생(신입생 제외),등록금 지원,"홈페이지(www.kodaf.or.kr)>협력과 나눔 게시판 참조하여, 매년 3,9월 등기우편 및 이메일 접수(mail@kodaf.kr)",2099-12-31,민간복지(CSV),내용 없음,장애대학생 아람코등록금 지원사업 국내 4년제 대학교 이공계열에 재학중인 등록 장애학생신입생 제외 등록금 지원
project S," 작가, 감독, 프로듀서 제한 없이 지원 창작물에 대한 저작권 소유자 및 리메이크나 동의를 획득한 자(서류제출)- 극영화, 다큐멘터리 : 장편 크레딧(연출, 각본, 프로듀서) 미보유자- 타 기관으로부터 기획개발비 지원을 받은 작품 제외- 1팀(1인)당 1작품 만 지원"," 팀별 개별 면담을 통한 성장 지원 프로그램의 맞춤 구성- 성장지원금 최대 1,000만원- 전문가 컨설팅, 모니터링, 멘토링, 파트너 매칭 등 창작물 성장 지원 프로그램 제공- 인적 네트워킹 및 투자 유치, 프로젝트 피칭 등을 통한 시장 진출 독려- 시나리오 번역 등 후속 지원", 인터넷접수 : http://www.cjazit.org/support/projects_support.asp- 공고: 매년 2월(공지확인),2099-12-31,민간복지(CSV),내용 없음,작가 감독 프로듀서 제한 없이 지원 창작물에 대한 저작권 소유자 및 리메이크나 동의를 획득한 자서류제출 극영화 다큐멘터리 장편 크레딧연출 각본 프로듀서 미보유자 타 기관으로부터 기획개발비 지원을 받은 작품 제외 1팀1인당 1작품 만 지원 팀별 개별 면담을 통한 성장 지원 프로그램의 맞춤 구성 성장지원금 최대 1000만원 전문가 컨설팅 모니터링 멘토링 파트너 매칭 등 창작물 성장 지원 프로그램 제공 인적 네트워킹 및 투자 유치 프로젝트 피칭 등을 통한 시장 진출 독려 시나리오 번역 등 후속 지원
해외 교환장학생,내용 없음," 교환학생 프로그램에 참여하는 대학생의 학업 및 생활지원- 미주/유럽/기타 700만원, 아시아 500만원"," 매년 3월, 9월 공고- 방문접수: 모교 장학금 담당부서",2099-12-31,민간복지(CSV),내용 없음,해외 교환장학생 내용 없음 교환학생 프로그램에 참여하는 대학생의 학업 및 생활지원 미주유럽기타 700만원 아시아 500만원
숙정재단 장학사업," 학교장 추천을 받은 고등학생, 대학생"," 고등학생 160만원, 대학교 신입생 400만원, 대학교 재학생 300만원(1년간 지급)"," 우편 접수: 충청남도 부여군 규암면 흥수로 759 - 공고: 매년 1월 말, 7월 말",2099-12-31,민간복지(CSV),내용 없음,숙정재단 장학사업 학교장 추천을 받은 고등학생 대학생 고등학생 160만원 대학교 신입생 400만원 대학교 재학생 300만원1년간 지급
장학사업, 중학생 및 고등학생, 장학금 지급- 금액미정, 학교추천- 매년 3월 공고,2099-12-31,민간복지(CSV),내용 없음,장학사업 중학생 및 고등학생 장학금 지급 금액미정
난방시설 지원사업," 각 사회복지시설, 독거노인, 장애인 가정, 저소득 가정"," 난방시설 개보수 지원ㆍ복지시설이나 저소득층에 보일러 등의 난방용품을 지원- 복지시설 월동비용 지원ㆍ김장비, 난방용 유류비 등을 지원- 따뜻한 겨울나기 지원 사업(Warming Up Korea)ㆍ한국가스안전공사 봉사팀과 함께 매년 5곳의 열악한 복지시설을 선정하여 난방용품 교체 및 가스시설 점검, 도배공사, 노후시설 리모델링, 김장지원 등의 노력 봉사를 실시"," 기타 접수 : 사회복지시설, 시군구, 읍면동 추천",2099-12-31,민간복지(CSV),내용 없음,난방시설 지원사업 각 사회복지시설 독거노인 장애인 가정 저소득 가정 난방시설 개보수 지원복지시설이나 저소득층에 보일러 등의 난방용품을 지원 복지시설 월동비용 지원김장비 난방용 유류비 등을 지원 따뜻한 겨울나기 지원 사업 한국가스안전공사 봉사팀과 함께 매년 5곳의 열악한 복지시설을 선정하여 난방용품 교체 및 가스시설 점검 도배공사 노후시설 리모델링 김장지원 등의 노력 봉사를 실시
드림장학사업, 기초생활수급자 및 차상위계층 스포츠 꿈나무(청소년), 200~300만원 지원, 우편접수: (412-220) 경기도 덕양구 화신로 190 장미란체육관 2층 장미란재단 - 연중 수시접수,2099-12-31,민간복지(CSV),내용 없음,드림장학사업 기초생활수급자 및 차상위계층 스포츠 꿈나무청소년 200300만원 지원
저소득층 연탄지원, 저소득 가정, 저소득층 연탄지원(연탄쿠폰 발행), 지자체 연계(매년 7월),2099-12-31,민간복지(CSV),내용 없음,저소득층 연탄지원 저소득 가정 저소득층 연탄지원연탄쿠폰 발행
특수교육," 학령기 발달장애 아동, 청소년"," 유치원, 초등학교, 중,고등학교, 전공 과정 및 방과 후 학교를 운영하여 개별화 교육을 실시하고 정규교육을 받을 수 있도록 지원", 이메일 접수: miral4664@hanmail.net - 우편 접수: (우135-884) 서울시 강남구 밤고개로 1길 34(수서동 한울오피스텔) 201호 밀알복지재단 - 결원시 추가모집 공고(상시),2099-12-31,민간복지(CSV),내용 없음,특수교육 학령기 발달장애 아동 청소년 유치원 초등학교 중고등학교 전공 과정 및 방과 후 학교를 운영하여 개별화 교육을 실시하고 정규교육을 받을 수 있도록 지원
기적을 품은 아이들," 장애의 정도가 심하거나 이동의 어려움으로 인하여 재활치료를 받지 못하는 만 18세미만 중증 뇌병변, 뇌성마비 장애아동", 의료 재활치료에 제한이 있는 장애 아동들의 가정을 방문해 재활치료 서비스를 제공 - 가족에게 정서 지원 및 상담을 지원 - 물리치료는 매주 1~2회 일대일로 진행, 이메일 접수: miral4664@hanmail.net - 우편 접수: (우135-884) 서울시 강남구 밤고개로 1길 34(수서동 한울오피스텔) 201호 밀알복지재단 - 연중 신청,2099-12-31,민간복지(CSV),내용 없음,기적을 품은 아이들 장애의 정도가 심하거나 이동의 어려움으로 인하여 재활치료를 받지 못하는 만 18세미만 중증 뇌병변 뇌성마비 장애아동 의료 재활치료에 제한이 있는 장애 아동들의 가정을 방문해 재활치료 서비스를 제공 가족에게 정서 지원 및 상담을 지원 물리치료는 매주 12회 일대일로 진행
장학사업," 직업교육관련 학점은행제 교육훈련기관 소속 학점은행제 학습자 - 국민기초생활보장수급자 및 그 자녀, 또는 차상위계층에 속하는 자 및 그 자녀 - 직전학기 평점평균 80점(100점만점) 이상인 자 - 소속 직업교육훈련기관장이 추천하는 자", 지급금액: 1인당 연간 200만원 - 지급방법: 학기당 100만원씩 2개 학기 지급, 우편접수: 경기도 고양시 일산동구 백석동 1328번지,2099-12-31,민간복지(CSV),내용 없음,장학사업 직업교육관련 학점은행제 교육훈련기관 소속 학점은행제 학습자 국민기초생활보장수급자 및 그 자녀 또는 차상위계층에 속하는 자 및 그 자녀 직전학기 평점평균 80점100점만점 이상인 자 소속 직업교육훈련기관장이 추천하는 자 지급금액 1인당 연간 200만원 지급방법 학기당 100만원씩 2개 학기 지급
금융교육사업," 증권박물관 금융교육: 초등학교 3학년 이상 ~ 성인 - 찾아가는 금융교육: 서울, 경기, 부산의 초중고 - 드림스타트 금융교육: 방학기간 중 전국 드림스타트 대상 - 사회새내기 금융특강: 서울 및 수도권 고교 졸업 예정자", 금융관련 교육, 인터넷 접수: 증권박물관 금융교실 홈페이지(nanum.ksd.or.kr),2099-12-31,민간복지(CSV),내용 없음,금융교육사업 증권박물관 금융교육 초등학교 3학년 이상 성인 찾아가는 금융교육 서울 경기 부산의 초중고 드림스타트 금융교육 방학기간 중 전국 드림스타트 대상 사회새내기 금융특강 서울 및 수도권 고교 졸업 예정자 금융관련 교육
시력회복 의료비 지원, 최저생계비 200%이하인 24세 이하 시력회복 의료비가 필요한 자," 시력회복 의료비 일체(각막이식, 인공수정체 삽입, 녹내장, 백내장, 사시교정, 의안삽입, 특수렌즈 제작 등) 1인당 최소 50만원 ~ 최대 200만원"," 공고시, 이메일 접수 및 병원 사회사업실 신청- 신청기간: 1월~8월",2099-12-31,민간복지(CSV),내용 없음,시력회복 의료비 지원 최저생계비 200이하인 24세 이하 시력회복 의료비가 필요한 자 시력회복 의료비 일체각막이식 인공수정체 삽입 녹내장 백내장 사시교정 의안삽입 특수렌즈 제작 등 1인당 최소 50만원 최대 200만원
진료비지원사업," 지원병명: 심장병얼굴기형, 콩팥이식, 골수이식 - 지원연령: 경제적 형편이 어려운 환자, 만 70세까지(골수이식은 만 65세까지)"," 수술위한 정밀 검사비, 수술비, 수술 후 1년 이내의 후유증 치료비(재입원비) - 금액 미정"," 인터넷 접수: new.heart.or.kr - 방문 및 우편 접수: 서울시 송파구 올림픽로 35가길 11, 207호 (신천동 한신오피스텔)) - 팩스 접수: 02-417-4880 - 연중 접수",2099-12-31,민간복지(CSV),내용 없음,진료비지원사업 지원병명 심장병얼굴기형 콩팥이식 골수이식 지원연령 경제적 형편이 어려운 환자 만 70세까지골수이식은 만 65세까지 수술위한 정밀 검사비 수술비 수술 후 1년 이내의 후유증 치료비재입원비 금액 미정
무료법률상담 및 소송지원, 법률상담이 필요한 분, 무료법률상담 및 소송지원, 국번없이 132,2099-12-31,민간복지(CSV),내용 없음,무료법률상담 및 소송지원 법률상담이 필요한 분 무료법률상담 및 소송지원
자살시도 환자 지원사업, 경제적으로 어려운 자살시도 환자- 기초생활수급자 및 차상위 / 건강보험 중위소득 100%이하,"1인당 500만원(생계비, 의료비포함)",병원내의료사회복지사와 상담후 이메일 신청 hanababo@kamsw.or.kr 로 PDF 파일 전송,2099-12-31,민간복지(CSV),내용 없음,자살시도 환자 지원사업 경제적으로 어려운 자살시도 환자 기초생활수급자 및 차상위 건강보험 중위소득 100이하 1인당 500만원생계비 의료비포함
꿈키움장학," 꿈장학, 하이원-꿈장학, SOS장학 해당 장학생", 사제동행프로그램: 멘토와 장학생이 함께하는 멘토링 활동 프로그램 지원- 자기개발활동지원: 장학생의 진로 개발 및 자기계발 활동 지원- 금액미정, 온라인 파일첨부: http://www.sdream.or.kr - 우편 제출: 서울특별시 용산구 후암로 107 게이트웨이타워 20층 - 매년 5월 공고,2099-12-31,민간복지(CSV),내용 없음,꿈키움장학 꿈장학 하이원꿈장학 장학 해당 장학생 사제동행프로그램 멘토와 장학생이 함께하는 멘토링 활동 프로그램 지원 자기개발활동지원 장학생의 진로 개발 및 자기계발 활동 지원 금액미정
인재육성장학, 농업인 및 그 자녀로서 성적이 우수한 국내 대학 입학예정자ㆍ농협 상임임원 및 정규직원 자녀가 아닌자 - 고등학교 3학년 내신성적 또는 대학수학능력시험성적이 우수한 자ㆍ지원자가 유리하다고 판단되는 요건을 선택하여 지원 - 내신성적과 수능성적 지원자 구분 평가하여 고득점 순으로 최종 선발, 한 학기당 등록금 실납입액 중 최대 300만원 이내에서 장학금 지원ㆍ성적 일정기준(백분율 85점이상) 유지시 정규수업연한(최대 12학기) 동안 계속 지원ㆍ타 장학금 수혜의 경우 해당 학기 지원대상에서 제외, 인터넷 접수: jaedan.nonghyup.com,2099-12-31,민간복지(CSV),내용 없음,인재육성장학 농업인 및 그 자녀로서 성적이 우수한 국내 대학 입학예정자농협 상임임원 및 정규직원 자녀가 아닌자 고등학교 3학년 내신성적 또는 대학수학능력시험성적이 우수한 자지원자가 유리하다고 판단되는 요건을 선택하여 지원 내신성적과 수능성적 지원자 구분 평가하여 고득점 순으로 최종 선발 한 학기당 등록금 실납입액 중 최대 300만원 이내에서 장학금 지원성적 일정기준백분율 85점이상 유지시 정규수업연한최대 12학기 동안 계속 지원타 장학금 수혜의 경우 해당 학기 지원대상에서 제외
농촌 다문화가정 모국방문, 여성결혼이민자 부부와 그 자녀, 모국방문 왕복항공권 지급(대상자 부부 및 그 자녀) - 체재비 지원 등," 기타 접수: 농협 계통사무소장 등의 추천, 매년 3~4월 공고 참조",2099-12-31,민간복지(CSV),내용 없음,농촌 다문화가정 모국방문 여성결혼이민자 부부와 그 자녀 모국방문 왕복항공권 지급대상자 부부 및 그 자녀 체재비 지원 등
농협장학관 입사, 농업인 또는 그 자녀 대학생으로 연중 재학중인 자로서 모집요강 기준에 해당하는 대학생ㆍ농협 상임임원 및 정규직원 자녀가 아닌 자ㆍ농협 인재육성 장학생이 아닌자 - 신입생: 수능성적 / 고교 내신성적 중 지원자가 유리하다고 판단되는 요건 선택(단 수능 3과목 미만 응시자는 반드시 내신성적 제출)- 재학생: 1년간(두개 학기) 성적으로 평가(군입대 및 휴학으로 인해 20''년도 1년간 성적이 없을 경우 마지막 두개 학기 성적으로 평가)," 농협장학관 입사 - 합격자가 납부하여야 할 금액은 100만원(1년분) 이며, 전액 농협재단의 재산(기부금)으로 편입되고, 운용수익은 학생들을 위한 사업을 통하여 환원ㆍ입사 후 납부금액은 일절 반환하지 않음ㆍ1학기 50만원, 2학기 50만원 분납", 매년 12월 접수- 인터넷 접수: jaedan.nonghyup.com - 방문 접수: 서울시 강북구 삼양로 173길 7 농협장학관,2099-12-31,민간복지(CSV),내용 없음,농협장학관 입사 농업인 또는 그 자녀 대학생으로 연중 재학중인 자로서 모집요강 기준에 해당하는 대학생농협 상임임원 및 정규직원 자녀가 아닌 자농협 인재육성 장학생이 아닌자 신입생 수능성적 고교 내신성적 중 지원자가 유리하다고 판단되는 요건 선택단 수능 3과목 미만 응시자는 반드시 내신성적 제출 재학생 1년간두개 학기 성적으로 평가군입대 및 휴학으로 인해 20년도 1년간 성적이 없을 경우 마지막 두개 학기 성적으로 평가 농협장학관 입사 합격자가 납부하여야 할 금액은 100만원1년분 이며 전액 농협재단의 재산기부금으로 편입되고 운용수익은 학생들을 위한 사업을 통하여 환원입사 후 납부금액은 일절 반환하지 않음1학기 50만원 2학기 50만원 분납
